name,type,nyse,
Lincoln National Corporation ,NYSE,LNC,_- Financials / Multi-line Insurance
Linear Technology Corporation ,NASDAQ,LLTC,_- Information Technology / Semiconductors
Lockheed Martin Corporation ,NYSE,LMT,_- Industrials / Aerospace & Defense
Loews Corporation ,NYSE,L,_- Financials / Multi-Sector Holdings
Lorillard Inc. ,NYSE,LO,_- Consumer Staples / Tobacco
"Lowe's Companies, Inc. ",NYSE,LOW,_- Consumer Discretionary / Home Improvement Retail
LyondellBasell Industries NV ,NYSE,LYB,_- Materials / Diversified Chemicals
M&T Bank Corporation ,NYSE,MTB,_- Financials / Banks
Macerich Co ,NYSE,MAC,_- Financials / Retail REITs
"Macy's, Inc. ",NYSE,M,_- Consumer Discretionary / Department Stores
Mallinckrodt PLC ,NYSE,MNK,_- Health Care / Pharmaceuticals
Marathon Oil Corporation ,NYSE,MRO,_- Energy / Oil & Gas Exploration & Production
Marathon Petroleum Corp ,NYSE,MPC,_- Energy / Oil & Gas Refining & Marketing & Transportation
Marriott International Inc ,NASDAQ,MAR,"_- Consumer Discretionary / Hotels, Resorts & Cruise Lines"
"Marsh & McLennan Companies, Inc. ",NYSE,MMC,_- Financials / Insurance Brokers
"Martin Marietta Materials, Inc. ",NYSE,MLM,_- Materials / Construction Materials
Masco Corporation ,NYSE,MAS,_- Industrials / Building Products
Mastercard Inc ,NYSE,MA,_- Information Technology / Internet Software & Services
"Mattel, Inc. ",NASDAQ,MAT,_- Consumer Discretionary / Leisure Products
"McCormick & Company, Incorporated ",NYSE,MKC,_- Consumer Staples / Packaged Foods & Meats
McDonald's Corporation ,NYSE,MCD,_- Consumer Discretionary / Restaurants
McGraw Hill Financial Inc ,NYSE,MHFI,_- Financials / Diversified Financial Services
McKesson Corporation ,NYSE,MCK,_- Health Care / Health Care Distributors & Services
Mead Johnson Nutrition CO ,NYSE,MJN,_- Consumer Staples / Packaged Foods & Meats
MeadWestvaco Corp. ,NYSE,MWV,_- Materials / Paper Packaging
Medtronic PLC ,NYSE,MDT,_- Health Care / Health Care Equipment & Services
"Merck & Co., Inc. ",NYSE,MRK,_- Health Care / Pharmaceuticals
Metlife Inc ,NYSE,MET,_- Financials / Life & Health Insurance
Michael Kors Holdings Ltd ,NYSE,KORS,"_- Consumer Discretionary / Apparel, Accessories & Luxury Goods"
Microchip Technology Inc. ,NASDAQ,MCHP,_- Information Technology / Semiconductors
"Micron Technology, Inc. ",NASDAQ,MU,_- Information Technology / Semiconductors
Microsoft Corporation ,NASDAQ,MSFT,_- Information Technology / Systems Software
"Mohawk Industries, Inc. ",NYSE,MHK,_- Consumer Discretionary / Home Furnishings
Molson Coors Brewing Company ,NYSE,TAP,_- Consumer Staples / Brewers
Mondelez International Inc ,NASDAQ,MDLZ,_- Consumer Staples / Packaged Foods & Meats
Monsanto Company ,NYSE,MON,_- Materials / Fertilizers & Agricultural Chemicals
Monster Beverage Corp ,NASDAQ,MNST,_- Consumer Staples / Soft Drinks
Moody's Corporation ,NYSE,MCO,_- Financials / Diversified Financial Services
Morgan Stanley ,NYSE,MS,_- Financials / Investment Banking & Brokerage
Mosaic Co ,NYSE,MOS,_- Materials / Fertilizers & Agricultural Chemicals
Motorola Solutions Inc ,NYSE,MSI,_- Information Technology / Telecommunications Equipment
Murphy Oil Corporation ,NYSE,MUR,_- Energy / Integrated Oil & Gas
Mylan NV ,NASDAQ,MYL,_- Health Care / Pharmaceuticals
"NASDAQ OMX Group, Inc. ",NASDAQ,NDAQ,_- Financials / Diversified Financial Services
"National-Oilwell Varco, Inc. ",NYSE,NOV,_- Energy / Oil & Gas Equipment & Services
Navient Corp ,NASDAQ,NAVI,_- Financials / Consumer Finance
NetApp Inc. ,NASDAQ,NTAP,_- Information Technology / Internet Software & Services
"Netflix, Inc. ",NASDAQ,NFLX,_- Information Technology / Internet Software & Services
Newell Rubbermaid Inc. ,NYSE,NWL,_- Consumer Discretionary / Housewares & Specialties
Newfield Exploration Co. ,NYSE,NFX,_- Energy / Oil & Gas Exploration & Production
Newmont Mining Corp ,NYSE,NEM,_- Materials / Gold
News Corp ,NASDAQ,NWSA,_- Consumer Discretionary / Publishing
NextEra Energy Inc ,NYSE,NEE,_- Utilities / MultiUtilities
Nielsen NV ,NYSE,NLSN,_- Industrials / Research & Consulting Services
Nike Inc ,NYSE,NKE,"_- Consumer Discretionary / Apparel, Accessories & Luxury Goods"
NiSource Inc. ,NYSE,NI,_- Utilities / MultiUtilities
Noble Corp plc ,NYSE,NE,_- Energy / Oil & Gas Drilling
"Noble Energy, Inc. ",NYSE,NBL,_- Energy / Oil & Gas Exploration & Production
"Nordstrom, Inc. ",NYSE,JWN,_- Consumer Discretionary / Department Stores
Norfolk Southern Corp. ,NYSE,NSC,_- Industrials / Railroads
Northern Trust Corporation ,NASDAQ,NTRS,_- Financials / Asset Management & Custody Banks
Northrop Grumman Corporation ,NYSE,NOC,_- Industrials / Aerospace & Defense
NRG Energy Inc ,NYSE,NRG,_- Utilities / Independent Power Producers & Energy Traders
Nucor Corporation ,NYSE,NUE,_- Materials / Steel
NVIDIA Corporation ,NASDAQ,NVDA,_- Information Technology / Semiconductors
O'Reilly Automotive Inc ,NASDAQ,ORLY,_- Consumer Discretionary / Specialty Stores
Occidental Petroleum Corporation ,NYSE,OXY,_- Energy / Oil & Gas Exploration & Production
Omnicom Group Inc. ,NYSE,OMC,_- Consumer Discretionary / Advertising
"ONEOK, Inc. ",NYSE,OKE,_- Energy / Oil & Gas Exploration & Production
Oracle Corporation ,NYSE,ORCL,_- Information Technology / Application Software
Owens-Illinois Inc ,NYSE,OI,_- Materials / Metal & Glass Containers
PACCAR Inc ,NASDAQ,PCAR,_- Industrials / Construction & Farm Machinery & Heavy Trucks
Pall Corporation ,NYSE,PLL,_- Industrials / Industrial Conglomerates
Parker-Hannifin Corporation ,NYSE,PH,_- Industrials / Industrial Conglomerates
"Patterson Companies, Inc. ",NASDAQ,PDCO,_- Health Care / Health Care Supplies
"Paychex, Inc. ",NASDAQ,PAYX,_- Information Technology / Internet Software & Services
Pentair plc. ,NYSE,PNR,_- Industrials / Industrial Conglomerates
"People's United Financial, Inc. ",NASDAQ,PBCT,_- Financials / Thrifts & Mortgage Finance
"Pepco Holdings, Inc. ",NYSE,POM,_- Utilities / Electric Utilities
"PepsiCo, Inc. ",NYSE,PEP,_- Consumer Staples / Soft Drinks
"PerkinElmer, Inc. ",NYSE,PKI,_- Health Care / Health Care Equipment & Services
Perrigo Company plc ,NYSE,PRGO,_- Health Care / Pharmaceuticals
Pfizer Inc. ,NYSE,PFE,_- Health Care / Pharmaceuticals
PG&E Corporation ,NYSE,PCG,_- Utilities / MultiUtilities
Philip Morris International Inc. ,NYSE,PM,_- Consumer Staples / Tobacco
Phillips 66 ,NYSE,PSX,_- Energy / Oil & Gas Refining & Marketing & Transportation
Pinnacle West Capital Corporation ,NYSE,PNW,_- Utilities / MultiUtilities
Pioneer Natural Resources ,NYSE,PXD,_- Energy / Oil & Gas Exploration & Production
Pitney Bowes Inc. ,NYSE,PBI,_- Industrials / Office Services & Supplies
Plum Creek Timber Co. Inc. ,NYSE,PCL,_- Financials / REITs
